334 09 4 61 Bamberg, Stadt BY 40,2
335 12 0 52 Cottbus, Stadt BB 40,2
336 09 7 72 Augsburg BY 40,1
337 06 6 11 Kassel, documenta-Stadt HE 40,0
338 06 4 35 Main-Kinzig-Kreis HE 39,9
339 09 2 74 Landshut BY 39,9
340 09 3 77 Tirschenreuth BY 39,9
341 09 4 78 Lichtenfels BY 39,9
342 09 7 76 Lindau (Bodensee) BY 39,9
343 01 0 51 Dithmarschen SH 39,7
344 09 4 73 Coburg BY 39,7
345 09 2 78 Straubing-Bogen BY 39,6
346 09 6 71 Aschaffenburg BY 39,6
347 09 1 89 Traunstein BY 39,5
348 09 5 71 Ansbach BY 39,4
349 06 5 34 Marburg-Biedenkopf HE 39,3
350 06 6 31 Fulda HE 39,1
351 06 6 32 Hersfeld-Rotenburg HE 38,9
352 09 6 76 Miltenberg BY 38,9
353 09 7 78 Unterallgäu BY 38,9
354 09 4 63 Coburg, Stadt BY 38,8
355 09 4 77 Kulmbach BY 38,6
356 15 0 03 Magdeburg, Landeshauptstadt ST 38,6
357 06 5 33 Limburg-Weilburg HE 38,5
358 03 1 53 Goslar NI 38,4
359 08 2 31 Pforzheim, Stadt BW 38,2
360 09 4 62 Bayreuth, Stadt BY 38,0
361 09 2 61 Landshut, Stadt BY 37,9
362 09 2 62 Passau, Stadt BY 37,7
363 01 0 03 Lübeck, Hansestadt SH 37,6
364 03 4 05 Wilhelmshaven, Stadt NI 37,6
365 09 1 63 Rosenheim, Stadt BY 37,6
366 09 2 73 Kelheim BY 37,6
367 09 1 83 Mühldorf a.Inn BY 37,3
368 09 4 76 Kronach BY 37,3
369 09 7 64 Memmingen, Stadt BY 37,3
370 06 6 35 Waldeck-Frankenberg HE 37,2
371 09 7 75 Neu-Ulm BY 37,2
372 06 4 13 Offenbach am Main, Stadt HE 37,1
373 09 1 71 Altötting BY 37,0
374 09 4 79 Wunsiedel i.Fichtelgebirge BY 36,8
375 09 1 72 Berchtesgadener Land BY 36,6
376 09 7 73 Dillingen a.d.Donau BY 36,6
377 09 5 63 Fürth, Stadt BY 36,5
378 12 0 51 Brandenburg an der Havel, Stadt BB 36,5
379 09 7 61 Augsburg, Stadt BY 36,3
380 09 5 61 Ansbach, Stadt BY 36,2
381 03 4 02 Emden, Stadt NI 35,9
382 09 3 76 Schwandorf BY 35,9
383 09 7 63 Kempten (Allgäu), Stadt BY 35,9
384 01 0 01 Flensburg, Stadt SH 35,7
385 09 2 79 Dingolfing-Landau BY 35,6
386 09 7 74 Günzburg BY 35,2
387 09 7 62 Kaufbeuren, Stadt BY 35,1
388 09 6 62 Schweinfurt, Stadt BY 34,9
389 09 3 61 Amberg, Stadt BY 34,7
390 09 3 63 Weiden i.d.OPf., Stadt BY 34,7
391 04 0 12 Bremerhaven, Stadt HB 34,6
392 09 6 61 Aschaffenburg, Stadt BY 34,3
393 09 1 61 Ingolstadt, Stadt BY 33,8
394 06 5 32 Lahn-Dill-Kreis HE 33,7
395 09 2 77 Rottal-Inn BY 33,1
396 09 4 64 Hof, Stadt BY 33,0
397 09 2 63 Straubing, Stadt BY 31,8
398 09 3 72 Cham BY 31,1
399 09 2 75 Passau BY 30,8
400 09 2 71 Deggendorf BY 30,2
401 09 2 72 Freyung-Grafenau BY 26,5
402 09 2 76 Regen BY 26,4
