crumbs,turnout,url,id
"['Österreich', 'Burgenland', 'Burgenland Nord', 'Mattersburg', 'Baumgarten']",57.1,http://euwahl2014.bmi.gv.at/10617.html,10617
"['Österreich', 'Steiermark', 'Oststeiermark', 'Südoststeiermark', 'Baumgarten bei Gnas']",31.9,http://euwahl2014.bmi.gv.at/62306.html,62306
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Perg', 'Baumgartenberg']",49.2,http://euwahl2014.bmi.gv.at/41103.html,41103
"['Österreich', 'Tirol', 'Innsbruck-Land', 'Innsbruck-Land', 'Baumkirchen']",36.7,http://euwahl2014.bmi.gv.at/70305.html,70305
"['Österreich', 'Niederösterreich', 'Mostviertel', 'Amstetten', 'Behamberg']",57.6,http://euwahl2014.bmi.gv.at/30506.html,30506
"['Österreich', 'Niederösterreich', 'Niederösterreich Süd - Ost', 'Bruck an der Leitha', 'Berg']",67.0,http://euwahl2014.bmi.gv.at/30703.html,30703
"['Österreich', 'Oberösterreich', 'Mühlviertel', 'Rohrbach', 'Berg bei Rohrbach']",46.4,http://euwahl2014.bmi.gv.at/41308.html,41308
"['Österreich', 'Oberösterreich', 'Hausruckviertel', 'Vöcklabruck', 'Berg im Attergau']",47.5,http://euwahl2014.bmi.gv.at/41706.html,41706
"['Österreich', 'Kärnten', 'Kärnten West', 'Spittal an der Drau', 'Berg im Drautal']",36.9,http://euwahl2014.bmi.gv.at/20603.html,20603
"['Österreich', 'Niederösterreich', 'Waldviertel', 'Krems (Land)', 'Bergern im Dunkelsteinerwald']",61.9,http://euwahl2014.bmi.gv.at/31303.html,31303
"['Österreich', 'Steiermark', 'Weststeiermark', 'Leibnitz', 'Berghausen']",26.8,http://euwahl2014.bmi.gv.at/61003.html,61003
"['Österreich', 'Salzburg', 'Flachgau/Tennengau', 'Salzburg-Umgebung', 'Bergheim']",44.5,http://euwahl2014.bmi.gv.at/50303.html,50303
"['Österreich', 'Niederösterreich', 'Mostviertel', 'Melk', 'Bergland']",56.3,http://euwahl2014.bmi.gv.at/31503.html,31503
"['Österreich', 'Niederösterreich', 'Niederösterreich Süd - Ost', 'Baden', 'Berndorf']",41.1,http://euwahl2014.bmi.gv.at/30605.html,30605
"['Österreich', 'Salzburg', 'Flachgau/Tennengau', 'Salzburg-Umgebung', 'Berndorf bei Salzburg']",32.6,http://euwahl2014.bmi.gv.at/50304.html,50304
