eligible,turnout,voters
14588,33.53,4892
2900,35.24,1022
669,49.03,328
2248,34.25,770
3409,35.05,1195
2060,50.29,1036
2239,39.93,894
2925,31.08,909
6171,35.2,2172
879,40.5,356
1378,39.7,547
510,45.69,233
875,48.23,422
5629,27.25,1534
2748,32.13,883
1067,40.49,432
2221,52.99,1177
2133,29.54,630
1562,41.29,645
3199,31.63,1012
460,42.39,195
8665,35.6,3085
5863,34.71,2035
6007,37.64,2261
1000,50.7,507
546,38.83,212
576,62.5,360
27484,36.26,9966
1714,36.35,623
1831,41.13,753
1802,44.23,797
956,44.46,425
4551,38.12,1735
1863,27.27,508
687,48.47,333
1249,25.7,321
494,40.28,199
3034,25.48,773
20341,30.28,6159
3940,34.9,1375
338,43.79,148
2078,24.93,518
1524,29.92,456
2361,28.59,675
347,55.62,193
4113,34.28,1410
283,34.63,98
9983,27.18,2713
430,34.19,147
211,28.44,60
418,35.89,150
244,36.89,90
5522,30.28,1672
4092,34.87,1427
906,29.25,265
432,39.35,170
2110,26.35,556
235,39.57,93
13600,28.75,3910
319,35.42,113
5089,37.3,1898
2678,34.35,920
986,28.8,284
299,30.43,91
230,40.87,94
4392,29.42,1292
2616,34.48,902
1909,40.81,779
1161,49.96,580
1294,25.27,327
1849,37.97,702
2592,36.19,938
2291,29.73,681
5779,38.14,2204
3212,36.71,1179
1934,29.99,580
677,45.94,311
1211,40.3,488
778,29.69,231
1084,41.51,450
249,26.91,67
1253,37.51,470
1317,45.33,597
1207,33.39,403
897,24.64,221
1377,33.12,456
1713,26.09,447
1394,49.5,690
1080,42.31,457
1091,44.09,481
10508,27.76,2917
2905,23.99,697
395,24.56,97
343,25.95,89
343,25.95,89
3890,28.3,1101
6216,27.04,1681
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
3171,20.69,656
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
343,25.95,89
2141,30.45,652
3855,28.74,1108
4718,31.28,1476
1839,28.11,517
10367,27.84,2886
2679,28.41,761
343,25.95,89
343,25.95,89
1801,33.65,606
38680,29.52,11419
343,25.95,89
3314,28.0,928
1539,33.4,514
9014,30.47,2747
2269,26.05,591
2293,29.44,675
2854,31.29,893
2293,29.44,675
2293,29.44,675
3166,37.24,1179
